,country,stars,date
0,United Kingdom,9,2022-11-30
1,United States,2,2022-11-28
2,United Kingdom,7,2022-11-26
3,Canada,7,2022-11-25
4,United States,1,2022-11-23
5,Canada,4,2022-11-19
6,United States,1,2022-11-19
7,United Kingdom,2,2022-11-18
8,Italy,1,2022-11-07
9,Malaysia,5,2022-11-07
10,United Arab Emirates,1,2022-11-05
11,United States,1,2022-10-31
12,United States,1,2022-10-31
13,United Kingdom,6,2022-10-31
14,United Kingdom,1,2022-10-30
15,United States,9,2022-10-30
16,United States,9,2022-10-30
17,United Kingdom,3,2022-10-25
18,United States,9,2022-10-24
19,United States,2,2022-10-23
20,Malaysia,8,2022-10-22
21,United Kingdom,1,2022-10-22
22,United Kingdom,3,2022-10-21
23,United States,7,2022-10-17
24,United Kingdom,8,2022-10-17
25,United Kingdom,9,2022-10-17
26,United States,1,2022-10-16
27,United States,10,2022-10-15
28,United Kingdom,3,2022-10-14
29,United States,6,2022-10-06
30,United Kingdom,7,2022-10-01
31,United Kingdom,8,2022-10-01
32,United States,3,2022-09-25
33,United States,9,2022-09-25
34,Singapore,1,2022-09-24
35,United Kingdom,10,2022-09-23
36,Netherlands,10,2022-09-20
37,Australia,4,2022-09-16
38,United Kingdom,5,2022-09-14
39,United States,1,2022-09-11
40,United Kingdom,2,2022-09-10
41,New Zealand,2,2022-09-07
42,United Kingdom,7,2022-09-07
43,United Kingdom,1,2022-09-06
44,United Kingdom,4,2022-08-31
45,United States,1,2022-08-28
46,United Kingdom,10,2022-08-23
47,United Kingdom,9,2022-08-23
48,United Kingdom,1,2022-08-22
49,United Kingdom,1,2022-08-21
50,United States,1,2022-08-20
51,Ireland,10,2022-08-15
52,United States,10,2022-08-10
53,South Africa,1,2022-08-04
54,United States,8,2022-07-31
55,United Kingdom,1,2022-07-30
56,United Kingdom,1,2022-07-27
57,Ghana,2,2022-07-27
58,United States,2,2022-07-27
59,United Kingdom,8,2022-07-23
60,United Kingdom,1,2022-07-22
61,United States,1,2022-07-22
62,Netherlands,1,2022-07-20
63,United Kingdom,5,2022-07-18
64,Australia,5,2022-07-18
65,United Kingdom,7,2022-07-17
66,United Kingdom,1,2022-07-13
67,Canada,10,2022-07-12
68,United Kingdom,8,2022-07-09
69,United States,1,2022-07-07
70,United States,2,2022-07-06
71,United States,1,2022-07-06
72,Italy,4,2022-07-04
73,United States,1,2022-07-04
74,South Africa,6,2022-06-30
75,Ireland,1,2022-06-30
76,United States,1,2022-06-29
77,Australia,1,2022-06-28
78,United States,1,2022-06-27
79,Canada,1,2022-06-27
80,Netherlands,1,2022-06-27
81,Hong Kong,1,2022-06-25
82,Singapore,1,2022-06-25
83,United Kingdom,4,2022-06-24
84,United Kingdom,1,2022-06-23
85,United Kingdom,4,2022-06-23
86,United Kingdom,5,2022-06-22
87,United States,1,2022-06-20
88,Canada,1,2022-06-19
89,Canada,4,2022-06-18
90,United Kingdom,8,2022-06-17
91,Netherlands,2,2022-06-16
92,United Kingdom,5,2022-06-15
93,Germany,4,2022-06-13
94,United States,1,2022-06-11
95,United Kingdom,10,2022-06-08
96,United Kingdom,10,2022-06-06
97,United Kingdom,10,2022-06-03
98,United Kingdom,9,2022-06-02
99,South Africa,9,2022-06-02
100,United Kingdom,1,2022-06-01
101,South Africa,8,2022-05-30
102,Switzerland,1,2022-05-30
103,United Kingdom,1,2022-05-30
104,United Kingdom,1,2022-05-27
105,United Kingdom,2,2022-05-24
106,Bermuda,1,2022-05-23
107,United States,1,2022-05-19
108,United Kingdom,1,2022-05-18
109,United Kingdom,1,2022-05-18
110,United Kingdom,3,2022-05-18
111,Germany,2,2022-05-11
112,United Kingdom,4,2022-05-11
113,United Kingdom,8,2022-05-09
114,United States,1,2022-05-08
115,United Kingdom,3,2022-05-05
116,United Arab Emirates,10,2022-05-04
117,United States,2,2022-05-04
118,Botswana,1,2022-04-29
119,Brazil,10,2022-04-29
120,Panama,8,2022-04-28
121,United Kingdom,10,2022-04-27
122,United Kingdom,1,2022-04-24
123,United Kingdom,1,2022-04-23
124,South Africa,1,2022-04-20
125,Sweden,1,2022-04-20
126,United Kingdom,9,2022-04-20
127,United Arab Emirates,1,2022-04-16
128,Australia,1,2022-04-15
129,United Kingdom,7,2022-04-14
130,United Kingdom,4,2022-04-12
131,United States,10,2022-04-12
132,United Kingdom,1,2022-04-11
133,France,3,2022-04-08
134,United States,9,2022-04-07
135,United States,1,2022-04-07
136,United Kingdom,2,2022-04-06
137,United Kingdom,9,2022-04-06
138,United Kingdom,8,2022-04-06
139,United Kingdom,7,2022-04-04
140,United Kingdom,1,2022-04-04
141,United Kingdom,5,2022-04-04
142,United Kingdom,1,2022-04-04
143,Switzerland,5,2022-04-03
144,Australia,2,2022-04-03
145,United Kingdom,9,2022-04-02
146,United Kingdom,4,2022-04-02
147,United Kingdom,2,2022-03-31
148,United Kingdom,1,2022-03-31
149,United States,1,2022-03-30
150,United Kingdom,3,2022-03-29
151,United Kingdom,4,2022-03-29
152,United Kingdom,1,2022-03-29
153,United Kingdom,2,2022-03-27
154,United Kingdom,4,2022-03-25
155,United Kingdom,3,2022-03-19
156,United Kingdom,3,2022-03-18
157,United Kingdom,1,2022-03-17
158,United Kingdom,4,2022-03-16
159,United Kingdom,1,2022-03-11
160,United States,1,2022-03-11
161,United Kingdom,2,2022-03-06
162,United States,1,2022-03-06
163,United Kingdom,6,2022-03-05
164,United Kingdom,1,2022-03-04
165,United Kingdom,5,2022-03-03
166,United Kingdom,5,2022-03-02
167,United Kingdom,9,2022-02-28
168,United Kingdom,5,2022-02-26
169,Greece,1,2022-02-21
170,United Kingdom,1,2022-02-20
171,United Kingdom,10,2022-02-19
172,United Kingdom,1,2022-02-18
173,United Arab Emirates,2,2022-02-13
174,United Kingdom,10,2022-02-13
175,United Kingdom,1,2022-02-11
176,United States,10,2022-02-08
177,Canada,10,2022-02-08
178,United Kingdom,8,2022-02-01
179,United Kingdom,8,2022-01-25
180,United Kingdom,5,2022-01-25
181,United Kingdom,1,2022-01-19
182,United Kingdom,3,2022-01-12
183,South Africa,6,2022-01-12
184,South Africa,10,2022-01-10
185,United States,1,2022-01-09
186,United Kingdom,3,2022-01-09
187,United States,1,2022-01-09
188,United Arab Emirates,1,2022-01-07
189,United Kingdom,3,2022-01-06
190,United Kingdom,3,2022-01-06
191,United Kingdom,7,2022-01-02
192,United States,1,2021-12-30
193,United Kingdom,9,2021-12-29
194,United Kingdom,9,2021-12-28
195,United Kingdom,3,2021-12-27
196,United Kingdom,9,2021-12-27
197,United Kingdom,9,2021-12-24
198,United Arab Emirates,2,2021-12-23
199,United Kingdom,6,2021-12-20
200,United Kingdom,1,2021-12-19
201,United Kingdom,2,2021-12-16
202,Switzerland,3,2021-12-12
203,United Kingdom,1,2021-12-08
204,United States,1,2021-12-06
205,United Kingdom,1,2021-12-02
206,United States,2,2021-11-29
207,United Kingdom,4,2021-11-27
208,Australia,1,2021-11-25
209,United Kingdom,6,2021-11-25
210,United Kingdom,8,2021-11-24
211,Sweden,2,2021-11-20
212,United Kingdom,1,2021-11-19
213,United Kingdom,1,2021-11-15
214,United Kingdom,5,2021-11-15
215,United States,1,2021-11-14
216,United Kingdom,2,2021-11-13
217,United Kingdom,2,2021-11-13
218,Ireland,4,2021-11-10
219,United Kingdom,2,2021-11-07
